speaker,text,start,end,conv_id,act,topic
1-hye0k_su,그럼 주만 챙기고 바위 못 나오기만 좀 해줘.,255920.0,258279.99999999997,0,0,0
4-12_1212_,못 잡아버렸네,255980.0,257740.0,0,0,0
4-12_1212_,그냥 미드 집 가야될 듯 잡아야되는데 아까 못 잡아버렸네,257920.00000000003,264260.0,0,0,0
1-hye0k_su,이마.,259540.00000000003,259700.0,0,0,0
4-12_1212_,오리아나 못 나가긴 해,267180.0,267960.0,0,0,0
1-hye0k_su,노플이긴 해. 노플 노플 노플.,267740.0,270580.0,0,0,0
2-jaemin2119,봉지 와드 체크 안 되긴 했어.,267820.0,269340.0,0,0,0
2-jaemin2119,파이 여깄다,271380.0,271740.0,0,0,0
4-12_1212_,나는 궁 없는데 쟤 궁 있어요,272140.0,320520.0,0,0,0
2-jaemin2119,나 살짝 봐줄래?,272180.0,272760.0,0,0,0
2-jaemin2119,파이 노플이야,282460.0,282880.0,0,0,0
2-jaemin2119,나 패쉬 갈게 아 쏘리요,283600.0,287820.0,0,0,0
1-hye0k_su,정을 좀 말리긴 했다.,283880.0,284820.0,0,0,0
1-hye0k_su,그냥 아래에서 위로 올릴 듯?,292060.0,293180.0,0,0,0
3-daving64,고르기에도 턴 많이 남았고.,301220.0,302360.0,0,0,0
3-daving64,얘네 유충하려면 지금 올릴 수도 있긴 하겠다.,305300.0,307100.0,0,0,0
3-daving64,이거 암베사 텔 있는 거야?,308540.0,311520.0,0,0,0
2-jaemin2119,미드 이거 서로 집이지 라인 맞고 노즐이 탑판 한번 쓸 수 있고 올리자 올리자 빨리 바운스 볼게 그냥 반깎길 못 쓸라나?,309160.0,380400.0,0,0,0
3-daving64,얘네 서프라이즈 할 수 있겠다.,314160.0,315300.0,0,0,0
3-daving64,이거 유충할 거지?,315420.0,331840.0,0,0,0
1-hye0k_su,무슨 노플이야.,316100.0,316660.0,0,0,0
4-12_1212_,지금 오리아나 아래 시야 없긴 하거든,320600.0,337600.0,0,0,0
1-hye0k_su,캠프 좀 돌리긴 해야 할 듯.,327500.0,333520.0,0,0,0
5-jongseok7,씨..,333200.0,333560.0,0,0,0
1-hye0k_su,열심히 하는 게 나을 듯.,333560.0,334320.0,0,0,0
5-jongseok7,개 아깝네.,333660.0,334260.0,0,0,0
3-daving64,내가 지금 하고 올라갈까?,334060.0,335360.0,0,0,0
5-jongseok7,암베사도 풀?,335440.0,336120.0,0,0,0
3-daving64,유충할 거면.,335960.0,336440.0,0,0,0
3-daving64,어 얘는 바텀이고.,336860.0,340160.0,0,0,0
4-12_1212_,위에만 시야 있어 유충 때 오리아나 궁 안 돌긴 해 오리아나 유충 때 노 궁 노플 오리아나 상대 꺼내셔야 되긴 할 거다,337720.0,379140.0,0,0,0
3-daving64,안 갔네.,340840.0,341160.0,0,0,0
5-jongseok7,오케이.,352700.0,352940.0,0,0,0
1-hye0k_su,위드캠 먹고 강가 나갈 듯? 아.,357720.0,379300.0,0,0,0
3-daving64,와드 하나 있으면 좋긴 하고 내려갈 거면.,370460.0,372360.0,0,0,0
1-hye0k_su,이렇게까지는 나갈 만하다.,379400.0,381940.0,0,0,0
2-jaemin2119,마드하고 그냥 내려야 될 듯?,381780.0,383120.0,0,0,0
3-daving64,암베사 다 있지?,381840.0,382560.0,0,0,0
4-12_1212_,여기 제어받아도 받겠을 만하고 오리아나 지금 라인 많이.. 궁 없다던데 지금? 교전하면 내가 훨씬 좋다.,382560.0,395020.0,0,0,0
2-jaemin2119,아 라인하고?,383560.0,384080.0,0,0,0
1-hye0k_su,궁 없어.,384540.0,384860.0,0,0,0
3-daving64,아 오케이.,387320.0,387620.0,0,0,0
5-jongseok7,아니 암베사 공 없어.,388160.0,389240.0,0,0,0
5-jongseok7,풀도 없어.,389860.0,390260.0,0,0,0
5-jongseok7,암베사 풀도 없어.,390600.0,391300.0,0,0,0
1-hye0k_su,바로 실망할 듯?,397000.0,397940.0,0,0,0
5-jongseok7,얘 뭐 있어?,397100.0,399580.0,0,0,0
1-hye0k_su,걔 노 궁 이래.,398000.0,403000.0,0,0,0
2-jaemin2119,맵에서 탑 썼다 아래쪽 아래쪽 그렇게 안 되나?,398580.0,417360.0,0,0,0
4-12_1212_,오리아나 지금 안 보이게.,400780.0,401580.0,0,0,0
1-hye0k_su,나오는 거 계속 쏴야 되겠네.,403080.0,404060.0,0,0,0
1-hye0k_su,파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이파이 이길만 해,404520.0,423800.0,0,0,0
4-12_1212_,아 오리아나 내려간다 그냥. 노풀 노풀.,405900.0,417300.0,0,0,0
5-jongseok7,오케이.,406400.0,406660.0,0,0,0
4-12_1212_,나 모르긴 하는데 여기 볼게 나.,420180.0,426500.0,0,0,0
2-jaemin2119,파이 해봐,424500.0,424760.0,0,0,0
2-jaemin2119,나 죽었고 코칭 해봐,427160.0,436040.0,0,0,0
4-12_1212_,렉사이 먼저다?,437880.0,438380.0,0,0,0
1-hye0k_su,어이 궁 개쎄다,438860.0,439560.0,0,0,0
3-daving64,일단 탑 뛸 게 나아.,439540.0,441920.0,0,0,0
1-hye0k_su,뭐야?,439660.0,439800.0,0,0,0
3-daving64,라인 하나는 더 해야 돼.,441960.0,442900.0,0,0,0
2-jaemin2119,딜 되나?,441960.0,442300.0,0,0,0
1-hye0k_su,나는 그냥 먹고 정비 찍을땐?,443020.0,445780.0,0,0,0
3-daving64,아 그냥 바텀 뛰자.,446340.0,447560.0,0,0,0
3-daving64,바텀 뛰자.,447620.0,448000.0,0,0,0
4-12_1212_,암베사 보이세요?,447880.0,448440.0,0,0,0
3-daving64,아 공 썼어 엑사겐 살까 집까 탑라인 먹으면 돼,448220.0,460940.0,0,0,0
1-hye0k_su,나 아라 먹고 그냥 뺄게 아라,451680.0,452780.0,0,0,0
4-12_1212_,잡았다.,451980.0,452260.0,0,0,0
5-jongseok7,나 죽을..,452940.0,453260.0,0,0,0
4-12_1212_,나이스.,453080.0,461880.0,0,0,0
1-hye0k_su,바이 어차피 노궁이라고 했잖아,453320.0,454340.0,0,0,0
5-jongseok7,안 죽긴 해.,453840.0,454320.0,0,0,0
1-hye0k_su,그냥 된다,454400.0,465000.0,0,0,0
2-jaemin2119,너 먹다가 그냥 알아서 해라 플렉스 아이 바이..,455920.0,466340.0,0,0,0
3-daving64,아 오케이 탑라인도 근데 크긴 하다?,461000.0,463720.0,0,0,0
4-12_1212_,나도 이 라인하고 잡음실 행동.,461920.0,463020.0,0,0,0
5-jongseok7,리라인 하고 갈래.,463840.0,464660.0,0,0,0
1-hye0k_su,나 이러면 그냥 턴 좀 더 쓸게 받을 수 있어?,465040.0,478120.0,0,0,0
3-daving64,근데 우리 애매할 듯?,467120.0,468800.0,0,0,0
5-jongseok7,야 뭐야,468920.0,473160.0,0,0,0
3-daving64,뭐야,469760.0,469920.0,0,0,0
3-daving64,이거 세게는 못 할 듯?,470000.0,474880.0,0,0,0
2-jaemin2119,바이 여깄다 방해 안되나?,472400.0,474280.0,0,0,0
5-jongseok7,얘 나오는데?,473260.0,473800.0,0,0,0
3-daving64,야 용은 리셋 되긴 했..,476980.0,478040.0,0,0,0
2-jaemin2119,나 W만 주면 될텐데 나 힐 쓸게 괜찮아 괜찮아 나 힐은 있고 어 리셋 됐어,478320.0,491300.0,0,0,0
1-hye0k_su,받을 수 있어,478340.0,478760.0,0,0,0
3-daving64,됐나?,479160.0,479340.0,0,0,0
1-hye0k_su,어 그냥 줘도 될 듯 나 턴이 너무 빠득이라 아 1코어 턴이구나,479420.0,505040.0,0,0,0
3-daving64,어 된 거지,479620.0,480000.0,0,0,0
5-jongseok7,나 타고 탈탈탈. 나도 좀 많이 세다.,480940.0,599780.0,0,0,0
3-daving64,근데 올이 노만 하긴 한데 지금 아 오케이 근데 우리 여기 나가기 애매하지 않냐?,484580.0,497220.0,0,0,0
4-12_1212_,내 노풀인데.,485340.0,485900.0,0,0,0
2-jaemin2119,이어친다?,492180.0,492520.0,0,0,0
2-jaemin2119,뒤에 노텔 있을까,496760.0,497480.0,0,0,0
3-daving64,되나?,497680.0,497860.0,0,0,0
2-jaemin2119,여기까지?,499700.0,499960.0,0,0,0
4-12_1212_,안 보이긴 한다.,507360.0,507820.0,0,0,0
2-jaemin2119,나 외만해,507600.0,507980.0,0,0,0
4-12_1212_,우리가 집 찍고 미드 올려나?,509420.0,510840.0,0,0,0
3-daving64,어 이러면 괜찮긴 한데 바위도 집..,510560.0,513679.99999999994,0,0,0
3-daving64,정글도 오나?,514460.00000000006,514860.0,0,0,0
3-daving64,자기 정글?,515039.99999999994,515440.00000000006,0,0,0
4-12_1212_,오리아나 펄 돌고 이제 오리아나 텔 빠졌다.,515880.0,521679.99999999994,0,0,0
2-jaemin2119,엉비 한 톤 잡고 싶긴 해나 아래 들어오고 여기까지 와드 넣었을 만하나 와드 하나만 썼다,516299.99999999994,549660.0,0,0,0
1-hye0k_su,병을 줄 듯?,516600.0,517120.0,0,0,0
1-hye0k_su,나 이거 먹고 싶 3캠 다 털어서 나쁘지 않긴 해,517500.0,521679.99999999994,0,0,0
1-hye0k_su,나는 바이 한타 할 거 없어서 무조건 뭐 할라 한다 이러면?,521760.0,525760.0,0,0,0
1-hye0k_su,그거만 인지 좀 줘,526360.0,526960.0,0,0,0
1-hye0k_su,아직 안 돌아.,533380.0,533780.0,0,0,0
3-daving64,아 여기 라인에 있다?,536620.0,538280.0,0,0,0
3-daving64,나 공도 이제 차서 근데 원진이 랩 차서 손 많이 나긴 한다.,544240.0,547280.0,0,0,0
4-12_1212_,파이 공 도나?,545340.0,546060.0,0,0,0
1-hye0k_su,슬슬 돌만하다.,546420.0,547620.0,0,0,0
2-jaemin2119,이거 하나 살짝 당겨봐,549920.0,576220.0,0,0,0
1-hye0k_su,돌만하고.,551100.0,551500.0,0,0,0
1-hye0k_su,나 미드 뒤에 있긴 한데 이거 그냥 빡세게 해볼래?,551560.0,555360.0,0,0,0
1-hye0k_su,너 지금 궁이 있어서 받아줄 수 있어.,555480.0,556800.0,0,0,0
1-hye0k_su,바위 바위 바위 여기. 끝. 나 그냥 캠프 돌리면서 올게.,563740.0,572460.0,0,0,0
1-hye0k_su,물려 이런 거 해도 돼?,574200.0,574920.0,0,0,0
4-12_1212_,위에 시야 있긴 해.,574700.0,580300.0,0,0,0
2-jaemin2119,나 여기까지 천천히 봐 그냥 넣어 캠프 돌려도 돼,577620.0,588420.0,0,0,0
4-12_1212_,미드랑 공 3개 들고 가자.,580360.0,581700.0,0,0,0
1-hye0k_su,돌리면서 올게.,580520.0,580960.0,0,0,0
1-hye0k_su,다 없지 없어서 그냥 계속 미드 쪽 볼 때다.,584500.0,586300.0,0,0,0
4-12_1212_,미드 노플.,586360.0,587800.0,0,0,0
1-hye0k_su,바위 인물 샀다.,587520.0,588080.0,0,0,0
4-12_1212_,오리아나 노플.,587840.0,597300.0,0,0,0
1-hye0k_su,위쪽 시어 있다고?,595680.0,596240.0,0,0,0
1-hye0k_su,나도 좀 샀네.,597040.0,597620.0,0,0,0
4-12_1212_,오리 노플이다.,597360.0,597860.0,0,0,0
2-jaemin2119,여기 와드 와드 없다 상대 13 노틸 윗무빙이 왔고 웬만해서 와드 채워서 뻗을 거야,598340.0,622440.0,0,0,0
3-daving64,라인 빠구름이긴 한다.,598480.0,599320.0,0,0,0
1-hye0k_su,어차피 계속 만들어 주면 좋다.,599620.0,601180.0,0,0,0
5-jongseok7,팝 힘 차이 좀 많이 나고.,600360.0,601500.0,0,0,0
1-hye0k_su,이러면.. 바위 여기있다.,601240.0,628300.0,0,0,0
3-daving64,쟤네 바텀 썼다?,601680.0,650420.0,0,0,0
4-12_1212_,집 찍을 때 나 1코어 많이 세다.,607680.0,609520.0,0,0,0
4-12_1212_,나 계속 선선히 이기네.,617900.0,618760.0,0,0,0
2-jaemin2119,얘 바깥쪽 같이 나간다 노틸이랑 그 위치면 노틸이 더 빨라 H 지켰고 미드 라인만 하면 난 내릴게 내릴게 내릴게 괜찮나?,622500.0,665580.0,0,0,0
1-hye0k_su,바위 밥 먹었고.,628400.0,637820.0,0,0,0
4-12_1212_,오리가 나보다 구호는 빠르다.,629680.0,630840.0,0,0,0
4-12_1212_,20초?,634660.0,634760.0,0,0,0
4-12_1212_,20초 정도 빠를 것 같다.,635160.0,644100.0,0,0,0
1-hye0k_su,괜찮을듯?,637900.0,644600.0,0,0,0
4-12_1212_,근데 내가 먼저 강가 나가긴 해 지금은.,644200.0,645880.0,0,0,0
1-hye0k_su,3장만 볼래?,644680.0,647820.0,0,0,0
1-hye0k_su,나이스.,647960.0,648180.0,0,0,0
5-jongseok7,기다려봐.,648920.0,649440.0,0,0,0
5-jongseok7,나 W 3초.,649540.0,650000.0,0,0,0
1-hye0k_su,나이스.,650460.0,650660.0,0,0,0
1-hye0k_su,야 바위 지금부터 쭉 내려갔을 수도 있어.,653120.0,655180.0,0,0,0
1-hye0k_su,여기 조심해봐.,655400.0,656420.0,0,0,0
1-hye0k_su,바위 위에 안보인다.,656460.0,656980.0,0,0,0
1-hye0k_su,바위 궁있어?,657100.0,657480.0,0,0,0
1-hye0k_su,아..,657540.0,657540.0,0,0,0
1-hye0k_su,근데 갈만해.,657600.0,667300.0,0,0,0
3-daving64,어우 피 많이 갈리긴 했다.,659100.0,660000.0,0,0,0
3-daving64,아 여기 있었네?,661220.0,661660.0,0,0,0
1-hye0k_su,노시한 거 같은데?,668900.0,669400.0,0,0,0
1-hye0k_su,노틀이지?,669580.0,669940.0,0,0,0
1-hye0k_su,자..,670820.0,670920.0,0,0,0
4-12_1212_,나 내려줄 수 있어 지금. 아 위에 시야가 없어.,671900.0,686080.0,0,0,0
2-jaemin2119,내가 어떻게 했어야 될지 바이 궁 있는 거다,673600.0,678400.0,0,0,0
1-hye0k_su,제가 갈게.,678540.0,678760.0,0,0,0
1-hye0k_su,괜찮아.,679260.0,682120.0,0,0,0
3-daving64,너티 노웅이야.,680480.0,680960.0,0,0,0
1-hye0k_su,이길만해.,682560.0,682820.0,0,0,0
1-hye0k_su,이길만해.,682860.0,683120.0,0,0,0
1-hye0k_su,천천히 보자.,683340.0,683760.0,0,0,0
4-12_1212_,노플에.,686120.0,686520.0,0,0,0
2-jaemin2119,미드쪽 노틸만 간다 나 이제 땡기고 바이 궁 있다 준비 라인하고 미드 쓰는 게 나을 거 같은데?,687700.0,719640.0,0,0,0
3-daving64,아니면 나를 미드 세워줘도 되긴 해.,688880.0,690560.0,0,0,0
4-12_1212_,"나 0, 5초.",689120.0,689600.0,0,0,0
3-daving64,돌아다닐 거면.,690700.0,691400.0,0,0,0
4-12_1212_,난입 있긴 하다,691000.0,691500.0,0,0,0
4-12_1212_,지금. 나이스.,691560.0,695140.0,0,0,0
1-hye0k_su,노틀 여기.,692300.0,692620.0,0,0,0
1-hye0k_su,야 나 이거 살짝 봐줘.,693580.0,694220.0,0,0,0
1-hye0k_su,야..,694420.0,694460.0,0,0,0
1-hye0k_su,나 한다?,695220.0,695440.0,0,0,0
1-hye0k_su,끝인데?,695500.0,702060.0,0,0,0
1-hye0k_su,노틀..,702400.0,702640.0,0,0,0
1-hye0k_su,집 간 거 같은데?,702900.0,703480.0,0,0,0
1-hye0k_su,야 정비 찍고 올라갈 때? 임결령 같이 나오고 우리는 그냥 용볼 생각하자.,704920.0,710340.0,0,0,0
4-12_1212_,오케이.,708400.0,710400.0,0,0,0
4-12_1212_,나 주는 듯?,713440.0,720000.0,0,0,0
1-hye0k_su,우리 용보면 좋긴 하고 바위 위.,717520.0,719120.0,0,0,0
1-hye0k_su,하긴. 스탑 길게 하면 바위 간다.,723040.0,731520.0,0,0,0
3-daving64,나 미드 라크론 혼자 태우거든?,723660.0,743500.0,0,0,0
2-jaemin2119,가로수 미드 썰래?,730920.0,731640.0,0,0,0
1-hye0k_su,바위 거기 있어.,731820.0,732220.0,0,0,0
1-hye0k_su,아니 근데 나 기념견 나 갈 만한데.,732460.0,733640.0,0,0,0
1-hye0k_su,응? 지붕 끌어다 줄게.,734200.0,742320.0,0,0,0
4-12_1212_,우리 풀 16분 해도 온다?,735360.0,736620.0,0,0,0
5-jongseok7,안 죽긴 해.,738700.0,739120.0,0,0,0
5-jongseok7,어? 나 바위 노플.,741280.0,751760.0,0,0,0
3-daving64,돌아다닐 거면 돌아다녀도 돼.,744860.0,745940.0,0,0,0
1-hye0k_su,응 봤어.,749840.0,750240.0,0,0,0
1-hye0k_su,야 텔 텔 해야 되는데.,751820.0,752980.0,0,0,0
5-jongseok7,노 궁이야.,752320.0,752660.0,0,0,0
5-jongseok7,안 뱉어도 노 궁.,753400.0,754060.0,0,0,0
2-jaemin2119,너 알아서 빼봐,756080.0,772940.0,0,0,0
5-jongseok7,이거 이거 길게 빨면은 좋거든?,756240.0,760180.0,0,0,0
1-hye0k_su,아 끝나긴 한데.,758020.0,758740.0,0,0,0
5-jongseok7,나 텔도 있어가지고.,760500.0,761300.0,0,0,0
5-jongseok7,나 궁 아직 안 써가지고. 어. 아 이거 피해복 안 되나?,761500.0,765100.0,0,0,0
5-jongseok7,전령 나가면 할 것 같은데.,765440.0,767120.0,0,0,0
4-12_1212_,"노텔, 노텔, 노텔.",767300.0,769180.0,0,0,0
1-hye0k_su,노틸 노궁.,768020.0,770800.0,0,0,0
1-hye0k_su,아 피업할 수 있겠네.,770860.0,771600.0,0,0,0
1-hye0k_su,노틸 노..,771640.0,778060.0,0,0,0
3-daving64,이거 바이 보는데 나?,772180.0,773180.0,0,0,0
5-jongseok7,나 텔도 되긴 하고.,772480.0,773240.0,0,0,0
2-jaemin2119,그냥 노틀 깊게 온다?,773000.0,783880.0,0,0,0
5-jongseok7,나 여기다 텔 타볼게.,774620.0,775420.0,0,0,0
5-jongseok7,이거 천천히 좀 빨아봐.,775580.0,776460.0,0,0,0
5-jongseok7,어. 오케이.,777620.0,778160.0,0,0,0
1-hye0k_su,노틸 노궁이야.,778240.0,778680.0,0,0,0
5-jongseok7,야 미드 해봐.,778320.0,778800.0,0,0,0
1-hye0k_su,아 길게 하면 좋아.,778940.0,780080.0,0,0,0
5-jongseok7,미드 라인 해봐.,779140.0,779600.0,0,0,0
1-hye0k_su,아 좋아 좋아.,780120.0,780400.0,0,0,0
5-jongseok7,어. 어. 이거 하자 이거 할만한데 이거 할만한데?,780340.0,783680.0,0,0,0
1-hye0k_su,노플.,780440.0,800440.0,0,0,0
2-jaemin2119,뒤로 돌아서 본다,785180.0,785940.0,0,0,0
5-jongseok7,오케이 노틸 퀵 끊겼고 나 이거 더 간다?,785940.0,788800.0,0,0,0
2-jaemin2119,얘네?,786000.0,786160.0,0,0,0
2-jaemin2119,가자 가자 안쪽 봐줄래?,788900.0,802360.0,0,0,0
5-jongseok7,아 빨만해 나 안죽어 이거 쏘리 코르키도 노플 응 안 돼 와드 안 죽도록 어 오케이 오케이 나도 암베사는 계속 눌러줄 수 있고 한라인하고 나 윗모빙 찍어줄게,792020.0,981400.0,0,0,0
1-hye0k_su,천천히 봐줘.,803340.0,803840.0,0,0,0
1-hye0k_su,노틸 노궁이야.,804400.0,804860.0,0,0,0
4-12_1212_,나 텔 사주긴 한다 아니야?,805720.0,806900.0,0,0,0
4-12_1212_,우리랑 같이 마텔?,809700.0,810400.0,0,0,0
1-hye0k_su,가위. 잡은 거 같은데?,814360.0,816960.0,0,0,0
1-hye0k_su,얘 노공이야.,824320.0,824740.0,0,0,0
1-hye0k_su,우리 그냥 용범이면 될 듯?,824800.0,828060.0,0,0,0
1-hye0k_su,아래쪽으로 내려와줘.,828120.0,828760.0,0,0,0
2-jaemin2119,노틀 노플?,828860.0,829340.0,0,0,0
1-hye0k_su,서포트 동선이고.,829900.0,830740.0,0,0,0
4-12_1212_,잡은 거 같은데?,830420.0,831160.0,0,0,0
4-12_1212_,플래시 없잖아.,834800.0,835380.0,0,0,0
1-hye0k_su,오리 용범도 안 들고.,839600.0,840380.0,0,0,0
4-12_1212_,안 죽을 듯?,840640.0,841140.0,0,0,0
2-jaemin2119,노틀 공 안 될 거임,843460.0,844360.0,0,0,0
4-12_1212_,아직 우리 노플이야.,846520.0,847340.0,0,0,0
4-12_1212_,우리 40초 남았어.,847460.0,848840.0,0,0,0
